,CVaR0,CVaR1,$|CVaR_2 - CVaR_1|$,Max CVaR,VaR0,VaR1,$|VaR_2 - VaR_1|$,Max VaR,NetLoss0,NetLoss1,$|L_2 - L_1|$,$P(L > Q(0.6))$,Required Capital,Payout CVaR,Average Cost,a_1,a_2,b_1,b_2
0,36.52,39.63,3.11,39.63,27.86,29.52,1.65,29.52,24.86,26.26,1.39,0.07,59.50,90.00,33.47,0.86,0.89,-20.92,-23.13
1,36.46,32.59,3.87,36.46,24.94,28.25,3.31,28.25,22.06,22.96,0.90,0.07,42.90,73.75,33.00,0.86,0.89,-17.21,-22.89
2,43.19,40.53,2.66,43.19,33.31,27.23,6.08,33.31,28.66,24.14,4.53,0.08,51.65,86.25,37.18,0.87,0.78,-24.56,-15.17
3,31.09,37.49,6.40,37.49,27.18,30.92,3.73,30.92,23.33,26.79,3.46,0.05,54.80,86.92,34.86,0.88,0.87,-22.28,-22.63
4,37.19,36.32,0.87,37.19,31.34,27.66,3.69,31.34,26.59,24.85,1.75,0.09,52.03,79.85,30.42,0.89,0.86,-26.09,-21.18
5,33.45,40.71,7.26,40.71,25.10,29.95,4.85,29.95,22.44,26.25,3.82,0.06,48.92,77.51,31.04,0.84,0.90,-18.75,-24.74
6,35.16,36.58,1.42,36.58,31.36,25.53,5.83,31.36,24.81,22.93,1.87,0.07,55.99,88.11,34.92,0.89,0.81,-24.82,-15.91
7,33.58,33.93,0.35,33.93,29.25,29.25,0.01,29.25,25.78,23.23,2.56,0.01,53.75,83.98,32.92,0.87,0.88,-22.26,-21.86
8,33.81,32.24,1.57,33.81,27.96,27.21,0.75,27.96,24.92,23.46,1.47,0.04,44.29,72.28,30.21,0.88,0.85,-23.31,-20.76
9,35.71,36.00,0.29,36.00,31.02,30.38,0.64,31.02,26.50,25.30,1.20,0.04,51.87,80.61,31.33,0.87,0.83,-23.93,-21.57
10,36.49,36.43,0.06,36.49,29.05,32.09,3.03,32.09,25.95,27.17,1.22,0.07,59.79,86.76,29.95,0.83,0.89,-20.49,-27.09
11,37.44,38.57,1.14,38.57,29.11,29.55,0.43,29.55,25.14,25.20,0.06,0.10,58.90,90.00,34.05,0.89,0.86,-23.92,-20.63
12,39.05,32.07,6.98,39.05,30.41,25.03,5.38,30.41,26.39,22.18,4.21,0.08,47.29,78.42,33.49,0.84,0.82,-22.38,-16.96
13,38.31,31.09,7.23,38.31,27.67,27.61,0.06,27.67,25.34,23.72,1.62,0.06,46.77,74.92,30.48,0.85,0.87,-21.16,-21.80
14,35.87,38.22,2.35,38.22,29.28,28.06,1.22,29.28,25.04,24.60,0.44,0.06,41.51,73.57,34.13,0.86,0.87,-22.66,-21.61
15,32.44,38.34,5.89,38.34,27.99,31.59,3.61,31.59,24.09,27.40,3.31,0.11,57.21,84.48,30.13,0.83,0.88,-21.32,-24.54
16,29.80,36.06,6.26,36.06,25.53,29.91,4.38,29.91,21.61,25.55,3.93,0.04,52.74,82.79,32.68,0.83,0.89,-18.07,-23.73
17,37.71,40.37,2.66,40.37,30.48,30.00,0.48,30.48,26.73,26.12,0.61,0.10,61.70,90.00,31.38,0.89,0.85,-24.91,-22.07
18,31.81,36.17,4.36,36.17,27.52,27.78,0.26,27.78,23.46,24.60,1.14,0.05,52.23,84.33,34.71,0.89,0.90,-22.19,-21.85
19,38.04,37.95,0.09,38.04,30.62,30.11,0.51,30.62,25.54,26.13,0.58,0.06,53.87,84.09,32.92,0.89,0.88,-23.00,-23.57
20,39.83,34.43,5.40,39.83,28.89,27.74,1.16,28.89,25.15,24.41,0.73,0.08,62.77,90.00,30.37,0.88,0.87,-23.46,-22.25
21,37.82,27.16,10.66,37.82,30.65,23.41,7.25,30.65,28.04,20.58,7.45,0.03,56.38,86.89,33.33,0.88,0.81,-25.74,-15.56
22,37.84,34.50,3.33,37.84,30.27,28.36,1.91,30.27,25.75,23.65,2.10,0.05,62.23,90.00,30.88,0.85,0.84,-22.86,-21.21
23,38.94,35.27,3.67,38.94,32.02,26.81,5.21,32.02,26.91,23.59,3.32,0.07,42.57,73.89,33.45,0.85,0.82,-24.47,-17.75
24,31.85,35.99,4.14,35.99,27.67,27.00,0.67,27.67,23.27,24.46,1.19,0.02,58.19,89.98,34.69,0.85,0.86,-19.80,-21.01
25,35.17,35.21,0.04,35.21,27.84,27.23,0.61,27.84,25.24,23.92,1.31,0.07,45.15,74.26,31.37,0.89,0.85,-23.69,-19.26
26,39.98,38.84,1.15,39.98,28.13,32.92,4.79,32.92,25.71,26.82,1.11,0.11,46.87,75.14,30.62,0.85,0.92,-20.35,-27.49
27,33.66,28.63,5.04,33.66,27.19,24.19,2.99,27.19,24.11,21.04,3.06,0.04,54.54,83.64,31.83,0.88,0.87,-22.05,-19.22
28,37.45,38.71,1.26,38.71,31.10,32.98,1.88,32.98,25.80,26.74,0.94,0.06,49.51,78.65,31.61,0.88,0.86,-24.12,-23.49
29,37.61,36.49,1.12,37.61,32.01,28.68,3.33,32.01,26.10,25.18,0.92,0.04,48.32,76.80,30.89,0.80,0.85,-19.50,-22.55
30,38.36,29.38,8.99,38.36,30.33,25.39,4.94,30.33,26.32,21.98,4.34,0.03,48.24,81.09,35.26,0.90,0.86,-23.65,-18.90
31,33.64,37.55,3.92,37.55,28.17,29.54,1.37,29.54,23.46,26.14,2.68,0.02,51.39,80.41,31.59,0.85,0.90,-20.97,-24.09
32,31.77,41.42,9.65,41.42,27.73,29.83,2.10,29.83,24.06,26.21,2.15,0.07,49.38,79.18,32.28,0.83,0.83,-20.70,-21.26
33,34.51,34.01,0.50,34.51,26.62,29.77,3.15,29.77,23.98,24.47,0.49,0.02,50.17,83.08,35.42,0.88,0.88,-21.12,-22.03
34,33.60,30.65,2.95,33.60,28.56,26.64,1.91,28.56,24.76,23.02,1.74,0.03,53.92,81.75,30.52,0.87,0.89,-22.71,-21.42
35,35.98,36.90,0.92,36.90,28.48,28.01,0.47,28.48,25.36,25.26,0.10,0.05,52.60,90.00,40.03,0.85,0.87,-19.60,-21.28
36,37.54,35.64,1.90,37.54,31.25,27.29,3.96,31.25,26.72,23.51,3.21,0.04,37.58,70.92,35.21,0.87,0.86,-22.89,-19.61
37,32.77,43.64,10.87,43.64,29.84,29.65,0.19,29.84,24.68,26.06,1.38,0.11,54.97,85.29,33.07,0.91,0.80,-25.45,-18.02
38,39.37,34.64,4.72,39.37,31.09,30.06,1.03,31.09,26.67,25.49,1.18,0.06,45.68,73.48,30.08,0.92,0.86,-26.64,-22.35
39,30.54,35.15,4.62,35.15,25.59,27.34,1.75,27.34,21.82,23.89,2.07,0.06,48.07,80.02,34.36,0.84,0.86,-17.37,-20.79
40,37.05,39.37,2.32,39.37,30.67,31.16,0.49,31.16,26.40,27.19,0.79,0.05,55.48,87.48,34.77,0.88,0.85,-23.82,-22.27
41,37.80,38.90,1.10,38.90,29.85,31.95,2.10,31.95,24.48,26.80,2.32,0.09,56.66,89.27,35.44,0.89,0.86,-23.45,-22.11
42,32.26,40.33,8.07,40.33,28.48,29.63,1.15,29.63,24.61,26.95,2.34,0.05,51.16,83.56,34.96,0.89,0.91,-22.08,-24.83
43,32.61,37.08,4.47,37.08,28.20,28.22,0.02,28.22,23.91,25.19,1.28,0.08,45.55,72.97,29.70,0.87,0.88,-22.77,-22.47
44,31.82,37.42,5.60,37.42,28.66,31.59,2.93,31.59,24.34,26.73,2.39,0.03,36.43,66.56,31.95,0.86,0.89,-21.33,-24.82
45,29.41,33.70,4.29,33.70,24.12,27.44,3.32,27.44,21.23,24.53,3.30,0.03,50.95,83.80,35.40,0.82,0.84,-15.52,-20.25
46,35.00,38.26,3.26,38.26,28.41,30.79,2.38,30.79,24.16,26.03,1.87,0.06,51.67,83.53,34.44,0.86,0.84,-21.18,-21.75
47,33.77,30.78,2.99,33.77,29.08,25.93,3.16,29.08,25.59,22.54,3.05,0.02,52.61,82.12,32.14,0.86,0.85,-22.23,-20.01
48,34.89,39.42,4.53,39.42,28.38,31.09,2.71,31.09,23.88,26.65,2.76,0.07,41.68,75.41,35.81,0.85,0.85,-20.24,-21.50
49,33.39,39.24,5.84,39.24,27.10,32.69,5.59,32.69,23.51,28.65,5.14,0.10,43.16,69.82,28.82,0.82,0.90,-19.17,-27.05
50,35.63,33.40,2.23,35.63,27.13,29.41,2.28,29.41,22.89,26.15,3.26,0.06,47.14,79.91,35.13,0.81,0.89,-16.25,-23.76
51,34.38,37.71,3.32,37.71,29.31,28.95,0.36,29.31,24.65,24.33,0.32,0.03,44.32,80.23,38.13,0.88,0.87,-21.51,-20.28
52,35.31,33.54,1.77,35.31,27.51,25.61,1.90,27.51,24.55,21.68,2.87,0.07,48.34,85.25,39.33,0.91,0.85,-22.84,-16.41
53,36.09,35.16,0.93,36.09,28.12,28.29,0.17,28.29,24.63,24.27,0.36,0.07,57.60,90.00,35.28,0.89,0.83,-22.43,-18.70
54,38.22,34.48,3.74,38.22,31.87,28.73,3.14,31.87,27.17,23.75,3.41,0.04,39.50,73.74,36.22,0.91,0.84,-25.05,-18.84
55,32.86,36.79,3.93,36.79,27.20,30.96,3.75,30.96,22.77,24.89,2.12,0.07,57.20,85.65,31.31,0.87,0.85,-21.84,-21.41
56,35.25,37.08,1.83,37.08,29.68,28.30,1.39,29.68,26.13,24.76,1.36,0.05,46.16,75.86,32.01,0.90,0.84,-25.21,-19.79
57,37.32,35.59,1.73,37.32,31.61,27.60,4.01,31.61,27.41,24.87,2.54,0.08,53.75,80.60,29.55,0.90,0.86,-27.95,-21.27
58,41.78,33.18,8.60,41.78,29.04,28.66,0.37,29.04,26.51,25.53,0.98,0.05,44.03,78.82,36.99,0.86,0.89,-20.90,-23.57
59,35.82,37.77,1.95,37.77,28.24,31.06,2.82,31.06,24.43,26.75,2.32,0.07,56.04,88.06,34.82,0.83,0.90,-18.76,-25.69
60,36.29,34.94,1.35,36.29,29.22,30.28,1.06,30.28,24.89,25.96,1.06,0.03,53.18,83.95,33.43,0.80,0.83,-18.22,-22.18
61,34.01,40.13,6.12,40.13,30.76,31.86,1.10,31.86,25.60,27.22,1.62,0.06,46.16,77.29,33.44,0.87,0.89,-22.94,-24.40
62,35.29,37.02,1.72,37.02,26.55,30.84,4.30,30.84,23.66,25.31,1.65,0.06,47.94,78.89,33.35,0.85,0.89,-19.55,-23.87
63,36.45,41.61,5.16,41.61,26.44,31.08,4.64,31.08,23.50,27.46,3.95,0.08,60.93,90.00,32.12,0.85,0.88,-19.92,-23.71
64,36.16,35.62,0.54,36.16,27.43,29.32,1.88,29.32,23.55,24.16,0.61,0.05,51.81,90.00,40.78,0.81,0.86,-16.13,-20.15
65,35.64,35.05,0.59,35.64,30.29,29.99,0.31,30.29,25.24,25.28,0.04,0.07,47.68,78.25,32.95,0.83,0.87,-20.65,-22.43
66,37.08,37.85,0.77,37.85,29.79,27.37,2.42,29.79,25.20,23.29,1.91,0.09,45.24,76.79,33.81,0.85,0.82,-21.74,-17.35
67,40.74,34.81,5.93,40.74,30.54,29.88,0.65,30.54,26.59,26.49,0.10,0.04,53.26,84.28,33.68,0.88,0.88,-23.68,-23.33
68,37.70,38.19,0.49,38.19,31.65,28.22,3.43,31.65,27.17,26.15,1.02,0.06,46.63,75.74,31.44,0.87,0.85,-24.06,-21.51
69,39.44,38.84,0.60,39.44,30.27,29.96,0.31,30.27,26.26,26.21,0.05,0.06,54.78,86.09,34.05,0.87,0.88,-21.69,-22.92
70,38.21,39.09,0.88,39.09,30.55,30.07,0.47,30.55,25.16,25.65,0.50,0.07,54.07,89.22,37.86,0.90,0.86,-23.07,-21.40
71,43.02,37.12,5.90,43.02,31.59,32.56,0.97,32.56,26.47,25.06,1.41,0.10,50.19,76.44,28.76,0.84,0.87,-21.99,-25.47
72,37.28,39.83,2.55,39.83,27.24,29.06,1.82,29.06,23.53,25.05,1.52,0.10,47.64,80.33,35.07,0.85,0.86,-19.25,-20.58
73,38.00,38.52,0.52,38.52,27.56,31.85,4.30,31.85,24.96,26.28,1.32,0.06,51.43,84.51,35.65,0.87,0.90,-20.79,-24.10
74,33.81,34.30,0.49,34.30,26.32,28.10,1.78,28.10,23.42,24.49,1.07,0.04,47.02,77.63,32.96,0.86,0.89,-20.57,-22.85
75,37.76,36.87,0.89,37.76,26.94,29.51,2.57,29.51,24.04,25.64,1.60,0.06,58.42,90.00,34.50,0.85,0.89,-18.84,-23.50
76,36.04,32.66,3.38,36.04,27.97,28.08,0.10,28.08,25.19,24.52,0.67,0.03,58.68,86.80,31.05,0.87,0.89,-21.86,-23.55
77,33.81,31.49,2.32,33.81,29.04,27.65,1.39,29.04,24.30,22.78,1.51,0.01,53.05,83.56,33.17,0.86,0.86,-20.76,-21.42
78,43.18,32.62,10.55,43.18,30.93,26.45,4.48,30.93,26.55,23.01,3.54,0.06,52.27,87.41,37.75,0.83,0.87,-19.52,-20.48
79,38.39,35.59,2.80,38.39,30.21,27.19,3.02,30.21,24.38,24.61,0.22,0.11,53.07,83.09,32.67,0.84,0.83,-20.53,-20.35
80,38.38,40.62,2.24,40.62,30.75,29.37,1.38,30.75,26.75,24.87,1.88,0.09,43.42,75.87,34.62,0.83,0.83,-22.46,-18.77
81,37.63,37.07,0.56,37.63,28.47,29.69,1.22,29.69,25.58,24.94,0.63,0.05,55.46,90.00,37.31,0.86,0.84,-21.38,-20.28
82,34.58,33.50,1.08,34.58,29.15,26.75,2.41,29.15,24.95,23.55,1.40,0.02,53.25,90.00,39.42,0.85,0.87,-20.02,-19.38
83,35.14,39.12,3.98,39.12,28.84,31.22,2.37,31.22,25.09,27.33,2.23,0.06,45.28,75.28,32.27,0.82,0.84,-19.80,-22.68
84,32.75,35.01,2.26,35.01,27.63,30.17,2.54,30.17,24.75,25.60,0.85,0.04,44.75,71.10,28.59,0.88,0.87,-22.87,-24.09
85,39.66,37.03,2.63,39.66,28.88,29.26,0.38,29.26,25.47,25.24,0.23,0.07,52.43,85.30,35.50,0.82,0.82,-19.31,-19.45
86,36.42,39.21,2.79,39.21,30.79,30.38,0.41,30.79,25.16,26.51,1.35,0.07,60.73,90.00,32.31,0.87,0.91,-22.85,-25.41
87,34.65,41.97,7.32,41.97,31.17,29.38,1.79,31.17,25.64,27.04,1.39,0.08,63.44,89.85,29.59,0.88,0.82,-25.11,-22.00
88,38.06,32.18,5.87,38.06,28.46,27.06,1.40,28.46,24.87,23.21,1.66,0.04,53.68,85.07,34.07,0.86,0.85,-21.88,-19.30
89,36.74,37.79,1.05,37.79,29.24,30.89,1.65,30.89,24.87,25.81,0.94,0.06,47.50,77.23,32.10,0.85,0.83,-22.82,-20.30
90,35.57,37.24,1.67,37.24,29.89,27.34,2.55,29.89,25.36,24.96,0.40,0.05,58.49,89.08,33.52,0.90,0.86,-24.50,-20.88
91,34.59,36.25,1.66,36.25,29.60,28.44,1.16,29.60,24.77,25.13,0.36,0.04,51.15,81.13,32.53,0.87,0.86,-23.53,-20.92
92,36.37,35.27,1.10,36.37,28.89,29.82,0.93,29.82,24.00,26.29,2.29,0.04,43.95,78.18,36.43,0.84,0.88,-19.90,-23.35
93,38.46,40.22,1.76,40.22,28.31,30.72,2.42,30.72,25.03,25.90,0.88,0.08,48.38,80.02,34.06,0.87,0.83,-21.20,-20.45
94,39.53,34.45,5.09,39.53,32.02,26.93,5.09,32.02,26.46,22.32,4.13,0.05,45.16,77.81,34.90,0.85,0.81,-22.31,-17.26
95,35.82,34.45,1.37,35.82,28.42,27.31,1.11,28.42,23.97,22.83,1.14,0.03,51.93,90.00,40.67,0.81,0.83,-17.30,-17.11
96,33.82,36.99,3.17,36.99,27.20,25.60,1.59,27.20,23.88,23.16,0.72,0.06,36.00,68.06,33.87,0.87,0.88,-20.92,-19.43
97,35.44,38.01,2.58,38.01,31.14,30.11,1.03,31.14,25.36,27.17,1.82,0.02,49.43,80.44,33.48,0.86,0.91,-22.67,-25.69
98,42.87,32.30,10.57,42.87,30.87,26.91,3.96,30.87,26.22,23.69,2.53,0.10,58.64,86.83,31.12,0.84,0.88,-21.54,-22.20
99,36.94,38.35,1.42,38.35,32.74,29.79,2.94,32.74,27.06,26.80,0.26,0.04,53.86,85.03,33.87,0.83,0.88,-21.44,-23.79
100,39.93,35.32,4.62,39.93,33.41,28.40,5.01,33.41,26.75,24.96,1.79,0.09,58.87,90.00,34.08,0.87,0.86,-23.17,-21.66
101,36.18,36.29,0.11,36.29,30.14,31.55,1.41,31.55,25.54,27.64,2.10,0.02,55.36,86.18,33.59,0.87,0.91,-22.52,-26.32
102,37.15,35.16,1.99,37.15,30.50,30.29,0.20,30.50,26.21,26.20,0.01,0.03,59.47,90.00,33.51,0.81,0.85,-20.95,-22.82
103,41.27,38.95,2.32,41.27,30.73,33.31,2.59,33.31,25.66,28.11,2.45,0.07,57.62,90.00,35.26,0.89,0.86,-23.27,-23.72
104,31.38,36.36,4.98,36.36,25.68,29.04,3.36,29.04,22.27,24.90,2.63,0.06,51.28,79.17,30.46,0.84,0.88,-18.09,-23.30
105,33.86,37.09,3.23,37.09,27.78,29.92,2.14,29.92,24.05,25.98,1.94,0.05,44.78,74.80,32.26,0.84,0.87,-19.89,-22.83
106,40.06,32.40,7.66,40.06,31.76,27.83,3.93,31.76,27.97,24.22,3.74,0.04,49.80,84.36,37.05,0.89,0.85,-24.11,-20.52
107,32.71,35.16,2.45,35.16,26.14,29.86,3.72,29.86,23.61,25.30,1.69,0.03,43.25,70.99,29.90,0.83,0.90,-19.24,-24.88
108,33.69,36.45,2.76,36.45,24.11,25.32,1.22,25.32,22.10,22.30,0.20,0.11,54.47,90.00,38.25,0.86,0.85,-18.50,-16.95
109,35.79,43.88,8.09,43.88,30.97,30.12,0.84,30.97,25.45,26.78,1.33,0.07,47.34,80.80,35.83,0.86,0.84,-21.72,-21.04
110,33.12,36.83,3.71,36.83,27.54,29.27,1.72,29.27,23.96,24.88,0.92,0.05,56.50,85.61,31.93,0.90,0.88,-21.98,-22.94
111,34.66,40.50,5.83,40.50,28.50,27.73,0.78,28.50,24.27,25.96,1.68,0.05,53.90,87.13,35.92,0.86,0.88,-20.28,-22.22
112,41.83,36.79,5.03,41.83,24.36,30.81,6.45,30.81,22.92,25.21,2.30,0.08,43.51,72.92,31.58,0.83,0.84,-16.03,-22.67
113,38.61,36.05,2.56,38.61,29.23,30.08,0.85,30.08,25.26,25.63,0.37,0.08,56.82,84.95,30.97,0.87,0.88,-22.48,-24.14
114,35.26,32.80,2.46,35.26,27.06,28.03,0.97,28.03,23.49,24.30,0.81,0.06,53.90,82.85,31.65,0.87,0.90,-21.02,-23.14
115,36.91,34.54,2.37,36.91,30.31,28.26,2.05,30.31,26.96,24.72,2.24,0.04,45.79,75.18,31.68,0.87,0.89,-23.22,-23.18
116,36.46,36.02,0.44,36.46,30.37,28.24,2.13,30.37,26.69,25.75,0.94,0.05,55.84,84.75,31.71,0.87,0.82,-24.96,-19.91
117,33.94,41.09,7.14,41.09,30.02,29.57,0.45,30.02,26.01,26.79,0.78,0.07,58.54,84.91,29.29,0.86,0.87,-23.06,-23.89
118,37.54,38.17,0.63,38.17,31.23,25.25,5.98,31.23,27.30,23.07,4.23,0.07,57.31,90.00,35.55,0.89,0.84,-24.45,-17.43
119,38.96,37.51,1.45,38.96,33.17,30.19,2.97,33.17,28.20,26.18,2.02,0.08,53.84,80.37,29.22,0.90,0.85,-27.23,-23.03
120,39.80,38.12,1.68,39.80,29.45,28.97,0.48,29.45,26.47,24.97,1.50,0.08,58.48,90.00,34.45,0.84,0.89,-21.92,-21.30
121,40.28,40.16,0.13,40.28,27.17,32.58,5.42,32.58,24.62,28.36,3.75,0.07,48.29,75.74,29.86,0.76,0.88,-15.27,-27.57
122,34.88,35.51,0.63,35.51,27.27,29.67,2.40,29.67,23.21,25.82,2.60,0.04,44.98,78.44,35.71,0.83,0.86,-18.24,-22.47
123,35.26,32.32,2.94,35.26,26.51,27.16,0.64,27.16,23.28,23.17,0.10,0.09,50.07,79.42,31.86,0.86,0.88,-19.11,-22.42
124,43.90,34.15,9.75,43.90,30.97,29.58,1.39,30.97,26.18,26.44,0.26,0.09,50.07,79.33,31.76,0.86,0.85,-22.78,-22.23
125,35.55,37.54,1.99,37.54,27.48,31.95,4.47,31.95,23.66,27.48,3.82,0.06,59.24,90.00,33.72,0.83,0.87,-19.95,-24.16
126,38.54,40.67,2.13,40.67,28.70,32.88,4.18,32.88,24.25,27.35,3.10,0.10,58.79,89.25,33.39,0.86,0.88,-21.96,-24.09
127,36.21,38.32,2.11,38.32,30.07,31.33,1.26,31.33,25.99,27.29,1.30,0.07,40.88,70.77,31.93,0.88,0.88,-23.88,-23.68
128,32.45,36.44,4.00,36.44,25.77,23.74,2.02,25.77,22.33,22.15,0.18,0.06,46.77,81.97,37.54,0.84,0.82,-17.96,-15.28
129,34.13,36.12,1.99,36.12,28.64,30.31,1.66,30.31,25.07,25.54,0.47,0.05,45.96,75.72,32.05,0.86,0.89,-21.32,-24.19
130,36.47,32.20,4.27,36.47,28.88,27.31,1.57,28.88,25.51,23.50,2.01,0.05,50.32,77.84,30.03,0.86,0.79,-23.44,-17.54
131,42.00,34.20,7.81,42.00,33.28,29.24,4.04,33.28,27.78,24.94,2.84,0.06,44.63,74.45,32.05,0.84,0.84,-22.93,-20.82
132,37.61,36.54,1.08,37.61,32.56,29.58,2.98,32.56,27.76,24.74,3.02,0.02,51.23,80.55,31.88,0.88,0.84,-26.66,-20.91
133,38.14,31.82,6.32,38.14,30.78,27.70,3.08,30.78,27.14,23.93,3.20,0.02,49.41,80.35,33.40,0.87,0.88,-23.88,-22.05
134,36.06,36.31,0.25,36.31,30.53,30.38,0.16,30.53,26.06,25.30,0.76,0.04,63.06,89.43,29.52,0.87,0.88,-23.42,-25.20
135,44.10,37.81,6.28,44.10,32.67,30.72,1.95,32.67,29.00,25.85,3.15,0.07,55.83,87.55,34.51,0.86,0.90,-23.86,-24.22
136,34.11,37.03,2.92,37.03,27.51,31.16,3.65,31.16,22.60,27.51,4.91,0.07,57.68,85.36,30.56,0.82,0.90,-18.67,-26.21
137,36.91,42.68,5.77,42.68,32.78,29.33,3.46,32.78,26.90,26.74,0.15,0.06,56.85,86.60,32.60,0.88,0.88,-24.91,-23.14
138,40.41,42.40,1.99,42.40,30.87,30.36,0.51,30.87,25.27,27.10,1.83,0.11,54.43,90.00,38.29,0.86,0.90,-20.19,-23.42
139,38.82,40.46,1.63,40.46,30.84,30.52,0.32,30.84,26.66,26.71,0.05,0.12,53.07,84.44,34.02,0.87,0.86,-23.20,-21.66
140,38.40,40.52,2.13,40.52,30.71,29.83,0.89,30.71,25.51,27.39,1.88,0.09,60.71,90.00,32.33,0.87,0.85,-23.02,-22.98
141,33.17,39.53,6.36,39.53,27.36,29.91,2.55,29.91,23.62,27.05,3.44,0.10,47.67,80.06,34.77,0.83,0.88,-19.47,-23.17
142,34.99,35.16,0.18,35.16,21.51,29.54,8.03,29.54,19.05,24.86,5.81,0.05,51.65,90.00,40.93,0.81,0.91,-10.73,-23.72
143,36.22,33.13,3.08,36.22,29.02,28.56,0.46,29.02,24.64,24.18,0.46,0.04,46.16,76.81,32.96,0.84,0.87,-19.48,-23.50
144,35.23,43.63,8.40,43.63,26.12,32.90,6.77,32.90,23.37,28.81,5.44,0.04,55.17,86.69,34.29,0.82,0.85,-18.50,-23.97
145,37.81,38.31,0.50,38.31,31.60,29.27,2.33,31.60,27.54,25.36,2.17,0.13,61.53,90.00,31.55,0.87,0.81,-25.62,-18.66
146,36.44,36.98,0.54,36.98,29.62,30.72,1.10,30.72,25.72,26.38,0.66,0.05,41.69,73.59,33.98,0.90,0.87,-24.04,-22.61
147,33.85,35.27,1.42,35.27,26.02,29.46,3.44,29.46,23.48,25.40,1.92,0.05,39.12,67.38,30.22,0.86,0.87,-21.10,-23.59
148,30.65,36.16,5.51,36.16,24.28,30.92,6.64,30.92,21.59,25.97,4.38,0.05,39.77,76.20,38.42,0.80,0.87,-15.04,-22.38
149,35.27,37.46,2.18,37.46,30.60,28.24,2.37,30.60,26.63,24.80,1.83,0.07,53.22,84.78,34.22,0.88,0.84,-25.01,-18.80
150,36.76,32.64,4.11,36.76,28.07,27.80,0.27,28.07,23.85,23.83,0.02,0.05,47.09,79.22,34.48,0.85,0.88,-19.41,-21.77
151,36.77,32.92,3.85,36.77,30.12,28.22,1.90,30.12,24.97,24.41,0.56,0.03,48.55,75.78,29.66,0.93,0.89,-25.98,-23.67
152,38.30,40.47,2.17,40.47,29.47,30.04,0.57,30.04,25.25,26.73,1.49,0.07,50.57,83.74,35.70,0.83,0.86,-19.13,-22.50
153,38.31,41.56,3.25,41.56,31.35,30.77,0.57,31.35,26.78,27.02,0.23,0.09,51.88,85.86,36.57,0.90,0.85,-25.08,-21.79
154,37.84,36.03,1.81,37.84,29.12,29.71,0.59,29.71,25.36,26.48,1.12,0.05,64.04,90.00,29.16,0.82,0.88,-21.13,-25.42
155,32.42,35.69,3.26,35.69,28.11,27.11,0.99,28.11,24.82,24.36,0.46,0.04,56.46,83.34,29.70,0.89,0.89,-22.82,-22.43
156,33.76,36.52,2.76,36.52,29.40,30.52,1.12,30.52,24.40,25.83,1.43,0.04,41.45,72.39,33.01,0.84,0.86,-21.42,-22.53
157,29.77,33.86,4.09,33.86,26.25,22.74,3.51,26.25,23.23,21.33,1.90,0.05,52.63,83.40,33.40,0.87,0.82,-21.66,-14.93
158,37.14,31.72,5.42,37.14,32.24,27.38,4.85,32.24,27.18,23.60,3.58,0.02,43.61,72.12,30.69,0.86,0.81,-25.28,-18.57
159,39.55,33.39,6.17,39.55,32.18,29.37,2.81,32.18,27.27,25.16,2.11,0.02,50.22,81.30,33.59,0.82,0.88,-20.94,-23.82
160,38.11,36.07,2.03,38.11,32.95,27.32,5.63,32.95,28.04,24.79,3.25,0.04,47.54,80.71,35.55,0.87,0.84,-24.11,-19.67
161,33.42,33.60,0.18,33.60,28.11,30.15,2.04,30.15,24.45,24.84,0.39,0.04,52.63,79.36,29.36,0.88,0.88,-23.16,-23.57
162,33.73,36.02,2.29,36.02,24.36,28.08,3.72,28.08,21.99,23.40,1.41,0.07,43.60,77.27,35.85,0.84,0.85,-16.53,-20.05
163,35.76,36.55,0.79,36.55,26.83,28.96,2.13,28.96,24.50,25.86,1.36,0.08,53.15,84.22,33.73,0.90,0.85,-22.52,-20.64
164,38.63,42.08,3.45,42.08,28.13,31.84,3.72,31.84,24.23,27.01,2.79,0.09,60.52,90.00,32.51,0.84,0.88,-18.97,-25.93
165,37.60,35.48,2.12,37.60,29.14,28.28,0.86,29.14,25.00,24.65,0.35,0.06,45.98,76.29,32.61,0.86,0.88,-21.31,-22.49
166,31.40,31.11,0.29,31.40,27.19,27.64,0.44,27.64,23.47,23.96,0.50,0.00,41.58,76.35,36.85,0.87,0.87,-19.68,-21.41
167,35.99,36.00,0.01,36.00,31.20,28.42,2.79,31.20,27.09,24.68,2.41,0.07,44.51,70.51,28.23,0.88,0.84,-25.56,-21.12
168,34.13,33.10,1.04,34.13,27.31,28.84,1.54,28.84,24.67,25.78,1.11,0.02,52.08,82.12,32.64,0.86,0.89,-21.30,-23.95
169,37.17,37.57,0.40,37.57,30.78,27.62,3.16,30.78,26.55,24.98,1.58,0.06,41.03,70.31,31.33,0.88,0.88,-23.97,-22.10
170,39.78,42.72,2.94,42.72,30.42,31.44,1.02,31.44,26.10,27.71,1.61,0.09,51.01,83.30,34.83,0.83,0.85,-20.49,-23.09
171,38.07,33.26,4.81,38.07,30.17,27.15,3.02,30.17,25.88,23.73,2.15,0.06,55.05,89.56,37.26,0.84,0.85,-21.06,-20.15
172,32.85,36.94,4.09,36.94,26.66,30.64,3.98,30.64,22.15,27.03,4.88,0.05,48.06,78.68,33.02,0.82,0.90,-16.82,-26.46
